id,username,grade,T_hebdo_01,T_hebdo_02,T_hebdo_03,T_hebdo_04,T_hebdo_05,T_hebdo_Avg,T_final,Certificat,Enrollment_Track,Verification_Status,Certificate_Eligible,Certificate_Delivered,Certificate_Type
2465657,Cedricfun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,verified,ID Verified,N,N,N/A
2599970,saguetarni,0.24,0.692307692308,0.833333333333,0.8,0.833333333333,0.5,0.789743589744,0.0,0.0,honor,N/A,N,N,N/A
109,Isabelle_G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
2358680,AurelieJu,0.02,0.230769230769,0.0,0.0,0.0,0.0,0.0576923076923,0.0,0.0,honor,N/A,N,N,N/A
204360,AstridRosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
906027,apprenantatfun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1669686,Osiatis_FUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3356314,MikeT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
512346,DRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3462142,Vinhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
615222,Chrystele19,0.87,0.769230769231,1.0,1.0,0.833333333333,1.0,0.958333333333,0.833333333333,0.0,honor,N/A,Y,Y,honor
589698,FAIVRE,0.93,0.769230769231,0.833333333333,1.0,1.0,1.0,0.958333333333,0.916666666667,0.0,verified,Not ID Verified,Y,Y,honor
4067160,Sanaebrb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3099251,jerry123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
493242,NOUO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1466691,srethore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3210188,Genere-Pridi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4352835,hniati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
136967,JIPJIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4352922,NanySilva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
515565,Naddia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
24511,IDMBAREK90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
38338,JohnCarter1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4352769,Freshita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3667821,betsaleel14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4290756,djewiet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
2843508,mramattouch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
2487137,bassafi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
285993,RosaM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3906792,FredericTESSEREAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
2888781,IsabelleDELORMEMUNIGLIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
28012,NEBF-2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
365454,phin,0.08,0.615384615385,0.5,0.0,0.0,0.0,0.278846153846,0.0,0.0,honor,N/A,N,N,N/A
4353600,camillejeanblanc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4353675,boboss78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
969555,AnthonyFun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4348788,Agnes1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3493588,PhilippeNiola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3180230,SHAUCK,0.19,0.692307692308,1.0,0.8,0.0,0.0,0.623076923077,0.0,0.0,honor,N/A,N,N,N/A
2991431,alexfr,0.84,0.769230769231,0.833333333333,0.8,0.833333333333,1.0,0.866666666667,0.833333333333,0.0,honor,N/A,Y,Y,honor
4353834,jmpet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
849250,CyrilleP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1580349,AkilaFBO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4353981,ILANNUZEL,0.84,0.769230769231,0.833333333333,0.8,1.0,0.833333333333,0.866666666667,0.833333333333,0.0,honor,N/A,Y,Y,honor
3629862,SacouraWaly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4200393,Alixi,0.75,0.615384615385,0.666666666667,0.2,0.833333333333,0.833333333333,0.737179487179,0.75,0.0,honor,N/A,Y,Y,honor
167882,Emma92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3632163,eleleu,0.88,0.692307692308,1.0,0.6,0.833333333333,0.333333333333,0.78141025641,0.916666666667,0.0,honor,N/A,Y,Y,honor
958080,DDGG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
470715,valeriendjamen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1786696,sfedior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1466475,Salambo2657,0.08,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,honor,N/A,N,N,N/A
4355115,mdelvalle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4192794,Seevy44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
242451,etchev7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3122429,Nasseredine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
400263,cindymentzer,0.87,0.538461538462,0.5,0.8,0.833333333333,0.833333333333,0.751282051282,0.916666666667,0.0,honor,N/A,Y,Y,honor
3438769,slauw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1014060,hdj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4355307,larafal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1775149,romainfun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1168863,petelo21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1285713,FredericGeneve,0.04,0.461538461538,0.0,0.0,0.0,0.0,0.115384615385,0.0,0.0,honor,N/A,N,N,N/A
4335378,FTX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4355211,cduchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4355961,PYSerrano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
3189404,whahya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
206520,MathieuBiard,0.72,0.769230769231,1.0,0.6,1.0,0.666666666667,0.858974358974,0.666666666667,0.0,honor,N/A,Y,Y,honor
156434,Brigitte-Mandalie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
4355970,ytcheou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
44086,SPeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
41149,patrickmeunier,0.71,0.0,1.0,0.6,0.833333333333,0.0,0.608333333333,0.75,0.0,honor,N/A,Y,Y,honor
3464395,horty22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
202647,Agnes1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
135203,bggb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
205404,CamilleLefebvre,0.19,0.692307692308,1.0,0.8,0.0,0.0,0.623076923077,0.0,0.0,honor,N/A,N,N,N/A
113119,Adrien1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
1409187,Adrem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
42223,rabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
150086,Philippeabadie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
101557,Tarikb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
104923,Razafiarison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
261327,MaRRocK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honor,N/A,N,N,N/A
